phrase,replacement
# Welcome
أهلاً وسهلاً,أَهْلًا وَسَهْلًا
# Welcome
أهلاً بك,أَهْلًا بِكَ
# Hello
مرحباً,مَرْحَبًا
# Good morning
صباح الخير,صَبَاحُ الْخَيْرِ
# Good evening
مساء الخير,مَسَاءُ الْخَيْرِ
# How are you
كيف حالك,كَيْفَ حَالُكَ
# I'm fine
أنا بخير,أَنَا بِخَيْرٍ
# Thank you
شكراً,شُكْرًا
# You're welcome
عفواً,عَفْوًا
# Please
من فضلك,مِنْ فَضْلِكَ
# It's okay
لا بأس,لَا بَأْسَ
# In sha' Allah
ان شاء الله,إِنْ شَاءَ اللّٰهُ
# Alhamdulillah
الحمد لله,الْحَمْدُ لِلّٰهِ
# Goodbye
مع السلامة,مَعَ السَّلَامَةِ
# What's your name
ما اسمك,مَا اسْمُكَ
# My name
اسمي,اِسْمِي
# Where are you from
من أين أنت,مِنْ أَيْنَ أَنْتَ
# I'm from...
أنا من,أَنَا مِنْ
# How much is this
كم هذا,كَمْ هَذَا
# I'm sorry
أنا آسف,أَنَا آسِفٌ
# Congratulations
مبروك,مَبْرُوكٌ
# Speak slowly
تكلم ببطء,تَكَلَّمْ بِبُطْءٍ
# I don't understand
لا أفهم,لَا أَفْهَمُ
# Are you speaking
هل تتكلم,هَلْ تَتَكَلَّمُ
# Can I...
هل يمكنني,هَلْ يُمْكِنُنِي
# I need...
أحتاج إلى,أَحْتَاجُ إِلَى
# Good luck
بالتوفيق,بِالتَّوْفِيقِ
# Health and wellness
صحة وعافية,صِحَّةٌ وَعَافِيَةٌ
# Happy birthday
عيد ميلاد سعيد,عِيدُ مِيلَادٍ سَعِيدٍ
# Happy new year
كل عام وأنتم بخير,كُلُّ عَامٍ وَأَنْتُمْ بِخَيْرٍ
# Bliss and wellness
بالهناء والشفاء,بِالْهَنَاءِ وَالشِّفَاءِ
# Very delicious
لذيذ جداً,لَذِيذٌ جِدًّا
# How do I go to...
كيف أذهب إلى,كَيْفَ أَذْهَبُ إِلَى
# What time is it
كم الساعة,كَمِ السَّاعَةُ
