phrase,replacement
صباح الخير,صَبَاحُ الْخَيْرِ
مساء الخير,مَسَاءُ الْخَيْرِ
أهلاً وسهلاً,أَهْلًا وَسَهْلًا
مرحباً,مَرْحَبًا
كيف حالك,كَيْفَ حَالُكَ
أنا بخير,أَنَا بِخَيْرٍ
شكراً,شُكْرًا
عفواً,عَفْوًا
من فضلك,مِنْ فَضْلِكَ
لا بأس,لَا بَأْسَ
ان شاء الله,إِنْ شَاءَ اللّٰهُ
الحمد لله,الْحَمْدُ لِلّٰهِ
مع السلامة,مَعَ السَّلَامَةِ
أهلاً بك,أَهْلًا بِكَ
ما اسمك,مَا اسْمُكَ
اسمي,اِسْمِي
أين أنت,أَيْنَ أَنْتَ
أنا من,أَنَا مِنْ
كم هذا,كَمْ هَذَا
أريد,أُرِيدُ
أنا آسف,أَنَا آسِفٌ
مبروك,مَبْرُوكٌ
تكلم ببطء,تَكَلَّمْ بِبُطْءٍ
لا أفهم,لَا أَفْهَمُ
هل تتكلم,هَلْ تَتَكَلَّمُ
أين,أَيْنَ
بسرعة,بِسُرْعَةٍ
هنا,هُنَا
هناك,هُنَاكَ
هل يمكنني,هَلْ يُمْكِنُنِي
أحتاج إلى,أَحْتَاجُ إِلَى
مريض/مريضة,مَرِيضٌ/مَرِيضَةٌ
جوعان/جوعانة,جَوْعَانُ/جَوْعَانَةُ
عطشان/عطشانة,عَطْشَانُ/عَطْشَانَةُ
أنا سعيد,أَنَا سَعِيدٌ
أنا حزين,أَنَا حَزِينٌ
بالتوفيق,بِالتَّوْفِيقِ
صحة وعافية,صِحَّةٌ وَعَافِيَةٌ
عيد ميلاد سعيد,عِيدُ مِيلَادٍ سَعِيدٍ
كل عام وأنتم بخير,كُلُّ عَامٍ وَأَنْتُمْ بِخَيْرٍ
بالهناء والشفاء,بِالْهَنَاءِ وَالشِّفَاءِ
لذيذ,لَذِيذٌ
أين الحمام,أَيْنَ الْحَمَّامُ
كيف أذهب إلى,كَيْفَ أَذْهَبُ إِلَى
كم الساعة,كَمِ السَّاعَةُ
